Name,Perm Id,Ric,STS,Tanker Zone,Type
Escravos Oil Terminal,77309533900,C}TS7309533900,0,West Africa,PORT
Eskifjordur,77309531721,C}TS7309531721,0,Iceland,PORT
Esmeraldas,77309531833,C}TS7309531833,0,Esmeraldas,PORT
Esmeraldas Multipurpose Pier (generic name),77309540686,C}TS7309540686,0,N/A,BERTH
Esperance,77309534103,C}TS7309534103,0,Kwinana,PORT
Esperance Berth 3,77309759463,C}TS7309759463,0,N/A,BERTH
Espirito Santo (FPSO),77309680640,C}TS7309680640,0,Rio de Janeiro,PORT
Espiritu Santo,77309539047,C}TS7309539047,0,New Zealand,PORT
Espoir Terminal (FPSO),77309538780,C}TS7309538780,0,West Africa,PORT
Essa Skalevik - Berth (East),77309909128,C}TS7309909128,0,N/A,BERTH
Essa Skalevik - Berth (West),77309909127,C}TS7309909127,0,N/A,BERTH
Essaouira,77309533150,C}TS7309533150,0,Tenerife,PORT
Essar Steel and Bulk Berths (Hazira),77309539612,C}TS7309539612,0,N/A,BERTH
Esso Augusta Refinery,77309539256,C}TS7309539256,0,N/A,BERTH
Esso Crude Oil Terminal,77309542049,C}TS7309542049,0,N/A,BERTH
Esso Fredrikstad Terminal,77309909121,C}TS7309909121,0,N/A,BERTH
Esso Hovringen - Berth 60,77309909123,C}TS7309909123,0,N/A,BERTH
Esso Hovringen - Berth 62,77309909124,C}TS7309909124,0,N/A,BERTH
Esso Hovringen Terminal,77309909122,C}TS7309909122,0,N/A,BERTH
Esso Nederland Refinery,77309540478,C}TS7309540478,0,N/A,BERTH
Esso Petroleum 1 (London),77309831267,C}TS7309831267,0,N/A,BERTH
Esso Pier (Vado Ligure),77309826077,C}TS7309826077,0,N/A,BERTH
Esso Refinery Terminal (Campana),77309823987,C}TS7309823987,0,N/A,BERTH
Esso Sjursoya Terminal,77309909097,C}TS7309909097,0,N/A,BERTH
Esso Skalevik Terminal,77309909126,C}TS7309909126,0,N/A,BERTH
Esso Slagen Berth 1,77309851650,C}TS7309851650,0,N/A,BERTH
Esso Slagen Berth 2,77309851649,C}TS7309851649,0,N/A,BERTH
Esso Tank Terminal,77309542042,C}TS7309542042,0,N/A,BERTH
Esso Thailand Refinery Sri Racha - Pier,77309539916,C}TS7309539916,0,N/A,BERTH
Essungo Marine Terminal,77309534447,C}TS7309534447,0,SW Africa,PORT
Estate Richmond Terminal (St Croix),77309930972,C}TS7309930972,0,N/A,BERTH
Etajima,77309543243,C}TS7309543243,0,Japan,PORT
Etame Terminal,77309538779,C}TS7309538779,0,West Africa,PORT
Etang de Berre,77309539190,C}TS7309539190,0,Fos sur Mer,PORT
Etc Berth (Lisbon),77309824352,C}TS7309824352,0,N/A,BERTH
Ethyl Corp. (HOU),77309557033,C}TS7309557033,0,N/A,BERTH
Eureka,77309531173,C}TS7309531173,0,US West Coast,PORT
Euro Tank (ETT) (RTM),77309755924,C}TS7309755924,0,N/A,BERTH
Euro Terminal,77309542478,C}TS7309542478,0,N/A,BERTH
Euroamerica Terminal (Maripasa),77309879675,C}TS7309879675,0,N/A,BERTH
EuroChem - Berth No.4 (Sillamae),77309830590,C}TS7309830590,0,N/A,BERTH
Eurochem Sillamae,77309773077,C}TS7309773077,0,N/A,BERTH
Eurogate (Hamburg),77309541819,C}TS7309541819,0,N/A,BERTH
Eurogate Bremerhaven,77309541391,C}TS7309541391,0,N/A,BERTH
Euromax (Phase 1),77309541797,C}TS7309541797,0,N/A,BERTH
Euro-Med Logistic Terminal,77309539802,C}TS7309539802,0,N/A,BERTH
Europa Terminal,77309541715,C}TS7309541715,0,N/A,BERTH
Europe Atlantique Terminal,77309541329,C}TS7309541329,0,N/A,BERTH
European Bulk Handling Installation (Gijon),77309540714,C}TS7309540714,0,N/A,BERTH
European Bulk Services - Europoort Agri Terminal,77309540527,C}TS7309540527,0,N/A,BERTH
European Bulk Services - Laurenshaven Terminal,77309540526,C}TS7309540526,0,N/A,BERTH
European Bulk Services (EBS) (RTM),77309755925,C}TS7309755925,0,N/A,BERTH
European Distribution Terminal,77309540907,C}TS7309540907,0,N/A,BERTH
European Energy Terminal: Coal and Ore,77309540233,C}TS7309540233,0,N/A,BERTH
Euro-Silo Terminal,77309540538,C}TS7309540538,0,N/A,BERTH
Eurotank Amsterdam - Berth 10,77309844761,C}TS7309844761,0,N/A,BERTH
Eurotank Amsterdam - Berth 11,77309844762,C}TS7309844762,0,N/A,BERTH
Eurotank Amsterdam - Berth 12,77309844763,C}TS7309844763,0,N/A,BERTH
Eurotank Amsterdam - Berth 14,77309844765,C}TS7309844765,0,N/A,BERTH
Eurotank Amsterdam - Berth 3,77309844759,C}TS7309844759,0,N/A,BERTH
Eurotank Amsterdam - Berth 7,77309844760,C}TS7309844760,0,N/A,BERTH
Eurotank Terminal - Berth 10 (Amsterdam),77309823615,C}TS7309823615,0,N/A,BERTH
Eurotank Terminal (ETA) (Amsterdam),77309755926,C}TS7309755926,0,N/A,BERTH
Everett,77309539029,C}TS7309539029,0,US West Coast,PORT
Everett (Boston Area),77309533181,C}TS7309533181,0,US Atlantic Coast,PORT
Evergreen Container Terminal Thailand (B2),77309541512,C}TS7309541512,0,N/A,BERTH
Evergreen Container Terminal/STS (Los Angeles),77309541313,C}TS7309541313,1,N/A,BERTH
"Evergreen Marine Terminal (T4 - 115,116,117)",77309541585,C}TS7309541585,0,N/A,BERTH
"Evergreen Marine Terminal (T5 - 79,80,81)",77309541594,C}TS7309541594,0,N/A,BERTH
Evergreen Ship Repair China,77309540063,C}TS7309540063,0,N/A,BERTH
Evergreen Terminal - Berths 32-33,77309541266,C}TS7309541266,0,N/A,BERTH
Evpatoria,77309533112,C}TS7309533112,0,Black Sea,PORT
Evyap Port Container Terminal,77309541255,C}TS7309541255,0,N/A,BERTH
E-Weg Anchorage,77309542755,C}TS7309542755,0,N/A,ANCHORAGE
EWP Pyongtaek (Dangjin) Power Plant,77309540080,C}TS7309540080,0,N/A,BERTH
Exmouth,77309533770,C}TS7309533770,0,Dampier,PORT
Exmouth (GB),77309538593,C}TS7309538593,0,UK Continent,PORT
Exolgan Container Terminal,77309541423,C}TS7309541423,0,N/A,BERTH
"Export Terminal, BIK",77309709723,C}TS7309709723,0,N/A,BERTH
Extended East Dock Berth (Castellon),77309909094,C}TS7309909094,0,N/A,BERTH
Exxon Antwerp Refinery,77309540152,C}TS7309540152,0,N/A,BERTH
Exxon Antwerp Refinery - Berth 417,77309851098,C}TS7309851098,0,N/A,BERTH
Exxon Baytown Refinery and Chemical Plant,77309539631,C}TS7309539631,0,N/A,BERTH
Exxon Baytown Refinery and Chemical Plant (Clean) Dock 3,77309681912,C}TS7309681912,0,N/A,BERTH
Exxon Baytown Refinery and Chemical Plant (Clean) Dock 4,77309681913,C}TS7309681913,0,N/A,BERTH
Exxon Baytown Refinery and Chemical Plant (Crude-Dirty) Dock 5,77309681914,C}TS7309681914,0,N/A,BERTH
Exxon Baytown Refinery and Chemical Plant (Crude-Dirty) Dock 6,77309681915,C}TS7309681915,0,N/A,BERTH
Exxon Baytown Refinery and Chemical Plant (Lubes-Chemicals) Dock 1,77309681917,C}TS7309681917,0,N/A,BERTH
Exxon Baytown Refinery and Chemical Plant (Lubes-Chemicals) Dock 2,77309681918,C}TS7309681918,0,N/A,BERTH
Exxon Mobil (Beaumont) Berth 2,77309867437,C}TS7309867437,0,N/A,BERTH
Exxon Mobil (Beaumont) Berth 4,77309867438,C}TS7309867438,0,N/A,BERTH
Exxon Mobil (Beaumont) Berth 5,77309867439,C}TS7309867439,0,N/A,BERTH
Exxon Mobil Barge Dock 59 (Norfolk),77309839172,C}TS7309839172,0,N/A,BERTH
Exxon Mobil Taicang Terminal,77309542046,C}TS7309542046,0,N/A,BERTH
Exxon Mobil Tsing Yi Tank Terminal East,77309541847,C}TS7309541847,0,N/A,BERTH
Exxon Mobil Tsing Yi Tank Terminal West,77309541846,C}TS7309541846,0,N/A,BERTH
ExxonMobil (Everett) Berth,77309880528,C}TS7309880528,0,N/A,BERTH
ExxonMobil Asphalt Terminal (Pulau Ayer Chawan),77309824014,C}TS7309824014,0,N/A,BERTH
ExxonMobil Berth (Providence),77309851627,C}TS7309851627,0,N/A,BERTH
ExxonMobil Berth 1 (Jurong Island),77309846724,C}TS7309846724,0,N/A,BERTH
Exxonmobil Berth 10 (HOU),77309838655,C}TS7309838655,0,N/A,BERTH
Exxonmobil Berth 11(HOU),77309838656,C}TS7309838656,0,N/A,BERTH
Exxonmobil Berth 12 (HOU),77309838657,C}TS7309838657,0,N/A,BERTH
Exxonmobil Berth 14 (HOU),77309838658,C}TS7309838658,0,N/A,BERTH
ExxonMobil Berth 7 (Jurong Island),77309846705,C}TS7309846705,0,N/A,BERTH
Exxonmobil Berth 9 (HOU),77309838654,C}TS7309838654,0,N/A,BERTH
ExxonMobil Berth OE5,77309942590,C}TS7309942590,0,N/A,BERTH
ExxonMobil Berths 238-240C (Los Angeles),77309759563,C}TS7309759563,0,N/A,BERTH
ExxonMobil Chalmette Temrinal No 5 Crude Berth (Chalmette),77309838659,C}TS7309838659,0,N/A,BERTH
ExxonMobil Chalmette Terminal - Berth No 1 (Chalmette),77309838660,C}TS7309838660,0,N/A,BERTH
ExxonMobil Chalmette Terminal Berth No 2 (Chalmette),77309838661,C}TS7309838661,0,N/A,BERTH
ExxonMobil Chalmette Terminal Berth No 6 (Chalmette),77309838662,C}TS7309838662,0,N/A,BERTH
ExxonMobil Chamlette Terminal Berth No5 (Chalmette),77309838663,C}TS7309838663,0,N/A,BERTH
ExxonMobil Oil Jetty (Jurong Island),77309830637,C}TS7309830637,0,N/A,BERTH
ExxonMobil Refinery Berth 1 (Port Jerome-Gravenchon),77309830618,C}TS7309830618,0,N/A,BERTH
ExxonMobil Refinery Berth 2 (Port Jerome-Gravenchon),77309830619,C}TS7309830619,0,N/A,BERTH
ExxonMobil Refinery Berth 3 (Port Jerome-Gravenchon),77309830620,C}TS7309830620,0,N/A,BERTH
ExxonMobil Refinery Berth 4 (Port Jerome-Gravenchon),77309830621,C}TS7309830621,0,N/A,BERTH
ExxonMobil Refinery Berth 5 (Port Jerome-Gravenchon),77309830622,C}TS7309830622,0,N/A,BERTH
Exxon-Mobil Refinery Fawley,77309539762,C}TS7309539762,0,N/A,BERTH
ExxonMobil Terminal (Jurong Island),77309765056,C}TS7309765056,0,N/A,BERTH
ExxonMobil Wezerhaven (RTM),77309846578,C}TS7309846578,0,N/A,BERTH
ExxonMovil Chesapeake Terminal (Norfolk),77309839173,C}TS7309839173,0,N/A,BERTH
Ezhou,77309535059,C}TS7309535059,0,Shanghai,PORT
F Appleton Dock (grain),77309540037,C}TS7309540037,0,N/A,BERTH
Faaborg,77309531272,C}TS7309531272,0,Baltic,PORT
"Faergehaven - Roro Berths 1,2,3 and 4",77309540739,C}TS7309540739,0,N/A,BERTH
Faeringehavn,77309531562,C}TS7309531562,0,Iceland,PORT
Fairfield Marine Termianl Pier No 4 W (Baltimore),77309839174,C}TS7309839174,0,N/A,BERTH
Fairfield Marine Terminal Pier No 4 E (Baltimore),77309839175,C}TS7309839175,0,N/A,BERTH
Fairfield Marine Terminal Pier No 5 W (Baltimore),77309839176,C}TS7309839176,0,N/A,BERTH
Fairfield Marine Terminal Pier No 5E (Baltimore),77309839177,C}TS7309839177,0,N/A,BERTH
Fairless Hills,77309536249,C}TS7309536249,0,US Atlantic Coast,PORT
Fairless Hills Terminal,77309768987,C}TS7309768987,0,N/A,BERTH
Fairview Container Terminal,77309541782,C}TS7309541782,0,N/A,BERTH
Fairview Cove Container Terminal,77309541370,C}TS7309541370,0,N/A,BERTH
Fajardo,77309531743,C}TS7309531743,0,Caribbean,PORT
Fakse Ladeplads,77309531282,C}TS7309531282,0,Baltic,PORT
Fal River Anchorage,77309542686,C}TS7309542686,0,N/A,ANCHORAGE
Falco Lime Ellender Dock (Hackberry),77309838664,C}TS7309838664,0,N/A,BERTH
Falconara Marittima Ancona Refinery,77309540071,C}TS7309540071,0,N/A,BERTH
Falconara SBM (Ancona),77309658674,C}TS7309658674,0,N/A,BERTH
Falconara Sea Island (Ancona),77309775691,C}TS7309775691,0,N/A,BERTH
Falkenberg,77309532688,C}TS7309532688,0,Baltic,PORT
Falkvarv Shipyard,77309541921,C}TS7309541921,0,N/A,BERTH
Fall River,77309531730,C}TS7309531730,0,US Atlantic Coast,PORT
Falmouth,77309534333,C}TS7309534333,0,UK Continent,PORT
Falmouth Outer Anchorage,77309542086,C}TS7309542086,0,N/A,ANCHORAGE
Famagusta,77309531104,C}TS7309531104,0,East Med,PORT
Famagusta Anchorage,77309542940,C}TS7309542940,0,N/A,ANCHORAGE
Famagusta MPP Berth (generic name),77309540038,C}TS7309540038,0,N/A,BERTH
Fangcheng,77309533866,C}TS7309533866,0,Canton,PORT
Fangcheng Anchorage,77309898270,C}TS7309898270,0,N/A,ANCHORAGE
Fangcheng Bulk & Multi-purpose Terminal,77309761296,C}TS7309761296,0,N/A,BERTH
Fangcheng Container Terminal,77309761300,C}TS7309761300,0,N/A,BERTH
Fangcheng LPG Berth,77309775701,C}TS7309775701,0,N/A,BERTH
Fangcheng MPT (Smelter) Berth,77309868117,C}TS7309868117,0,N/A,BERTH
Fangcheng Ore & Coal Terminal,77309761298,C}TS7309761298,0,N/A,BERTH
Fangcheng Ore Berths 6-8,77309761299,C}TS7309761299,0,N/A,BERTH
Fangcheng STS (test),77309865509,C}TS7309865509,1,N/A,BERTH
Fangchenggang LNG,77309913487,C}TS7309913487,0,N/A,BERTH
FAPS Newark Vehicle Terminal,77309539545,C}TS7309539545,0,N/A,BERTH
Far East Silo Grain Terminal - Berths 1 and 3,77309542442,C}TS7309542442,0,N/A,BERTH
Fargernes Quay (Narvik),77309948399,C}TS7309948399,0,N/A,BERTH
Farmers Grain Dealer Mobile Elevator,77309539653,C}TS7309539653,0,N/A,BERTH
Faro & Olhao,77309539188,C}TS7309539188,0,Gibraltar,PORT
Farosund (Gotland Island),77309536260,C}TS7309536260,0,Baltic,PORT
Farsund,77309534083,C}TS7309534083,0,UK Continent,PORT
Farsund Multipurpose Terminal,77309946772,C}TS7309946772,0,N/A,BERTH
Farwah FPSO,77309728706,C}TS7309728706,0,Malta,PORT
Faslane,77309536262,C}TS7309536262,0,Ireland,PORT
Fassmer Shipyard - Lifeboat Loading Berth,77309539434,C}TS7309539434,0,N/A,BERTH
Fateh Terminal,77309533890,C}TS7309533890,0,Arabian Gulf,PORT
Fateh Terminal - Crude Oil SMP 1,77309557130,C}TS7309557130,0,N/A,BERTH
Fateh Terminal - Crude Oil SMP 2,77309557131,C}TS7309557131,0,N/A,BERTH
Fauji Oil Terminal,77309535359,C}TS7309535359,0,W Coast India,PORT
Favignana Island,77309536269,C}TS7309536269,0,W Coast Italy,PORT
Fawley,77309531453,C}TS7309531453,0,UK Continent,PORT
Fawley Oil Terminal - Esso Berth No.1 (Southampton),77309830467,C}TS7309830467,0,N/A,BERTH
Fawley Oil Terminal - Esso Berth No.2 (Southampton),77309830468,C}TS7309830468,0,N/A,BERTH
Fawley Oil Terminal - Esso Berth No.3 (Southampton),77309830469,C}TS7309830469,0,N/A,BERTH
Fawley Oil Terminal - Esso Berth No.4 (Southampton),77309830470,C}TS7309830470,0,N/A,BERTH
Fawley Oil Terminal - Esso Berth No.5 (Southampton),77309830471,C}TS7309830471,0,N/A,BERTH
Fawley Oil Terminal - Esso Berth No.6 (Southampton),77309830472,C}TS7309830472,0,N/A,BERTH
Fawley Oil Terminal - Esso Berth No.7 (Southampton),77309830473,C}TS7309830473,0,N/A,BERTH
Fawley Oil Terminal - Esso Berth No.8 (Southampton),77309830474,C}TS7309830474,0,N/A,BERTH
Fawley Oil Terminal - Esso Berth No.9 (Southampton),77309830475,C}TS7309830475,0,N/A,BERTH
Fecamp,77309534601,C}TS7309534601,0,UK Continent,PORT
Feistein Tananger Anchorage (test),77309841230,C}TS7309841230,0,N/A,ANCHORAGE
Felixstowe,77309531080,C}TS7309531080,0,UK Continent,PORT
Felixstowe Anchorage,77309542726,C}TS7309542726,0,N/A,ANCHORAGE
"Felixstowe South Terminal (8,9)",77309541365,C}TS7309541365,0,N/A,BERTH
Feluy (test),77309709718,C}TS7309709718,0,UK Continent,PORT
Fengcheng,77309535154,C}TS7309535154,0,Shanghai,PORT
Fengjie,77309708515,C}TS7309708515,0,Shanghai,PORT
Feodosia,77309543119,C}TS7309543119,0,Black Sea,PORT
Feodosiya - Tanker Terminal,77309557092,C}TS7309557092,0,N/A,BERTH
Feodosiya - Tanker Terminal Berth North Oil,77309557094,C}TS7309557094,0,N/A,BERTH
Feodosiya - Tanker Terminal Berth South Oil,77309557095,C}TS7309557095,0,N/A,BERTH
Fergusson Container Terminal,77309541753,C}TS7309541753,0,N/A,BERTH
Fernandina Beach,77309538958,C}TS7309538958,0,US Atlantic Coast,PORT
Ferndale,77309531741,C}TS7309531741,0,US West Coast,PORT
Ferndale Refinery Terminal,77309830012,C}TS7309830012,0,N/A,BERTH
Ferrol Shipyard,77309778406,C}TS7309778406,0,N/A,BERTH
Ferrominera,77309538173,C}TS7309538173,0,Caribbean,PORT
Ferrominera Ore Berths (East),77309539954,C}TS7309539954,0,N/A,BERTH
Ferrominero Ore Berth,77309539952,C}TS7309539952,0,N/A,BERTH
Ferry and Roro Terminal (berths 101 and 105),77309540643,C}TS7309540643,0,N/A,BERTH
Fertiberia Fertiliser SL Pier (Huelva),77309823978,C}TS7309823978,0,N/A,BERTH
Fertiberia Phosphoric SL Pier (Huelva),77309830064,C}TS7309830064,0,N/A,BERTH
Fertinal Fertilizer Works Lazaro Cardenas,77309539766,C}TS7309539766,0,N/A,BERTH
Ferts Terminal,77309540218,C}TS7309540218,0,N/A,BERTH
Fethiye,77309533628,C}TS7309533628,0,East Med,PORT
FHR (Flint Hills Resources) Ingleside,77309722063,C}TS7309722063,0,N/A,BERTH
Fibreco Terminal,77309540347,C}TS7309540347,0,N/A,BERTH
Figueira Da Foz,77309531648,C}TS7309531648,0,Gibraltar,PORT
Filipstad Terminal,77309540866,C}TS7309540866,0,N/A,BERTH
Fina Olefin (Total),77309540151,C}TS7309540151,0,N/A,BERTH
Fincantieri Muggiano Shipyard,77309542435,C}TS7309542435,0,N/A,BERTH
FinCo Terminal (Amsterdam),77309780166,C}TS7309780166,0,N/A,BERTH
Finish (Roro and Paper Products)Terminal,77309539699,C}TS7309539699,0,N/A,BERTH
Finnart,77309543098,C}TS7309543098,0,Ireland,PORT
Finnart Ocean Terminal - Jetty 2 (Finnart),77309830420,C}TS7309830420,0,N/A,BERTH
Finnart Ocean Terminal - Jetty 3 (Finnart),77309830419,C}TS7309830419,0,N/A,BERTH
Finnsteve Container and Multipurpose Terminal,77309540923,C}TS7309540923,0,N/A,BERTH
Finucane Island A & B,77309759459,C}TS7309759459,0,N/A,BERTH
Finucane Island C & D,77309540277,C}TS7309540277,0,N/A,BERTH
Fiorillo Quay,77309540713,C}TS7309540713,0,N/A,BERTH
Fiorucci International Transfer Station (Nueva Palmira),77309879547,C}TS7309879547,0,N/A,BERTH
Firenze FPSO (Aquila),77309841092,C}TS7309841092,0,Malta,PORT
First Container Terminal,77309541432,C}TS7309541432,0,N/A,BERTH
Fischerhutte,77309536283,C}TS7309536283,0,UK Continent,PORT
Fisherman Islands,77309534325,C}TS7309534325,0,Brisbane,PORT
Fisherman Islands Cargo Terminal Berths 1 - 3,77309541359,C}TS7309541359,0,N/A,BERTH
Fisherman\'s Landing - Yarwun Berths,77309540172,C}TS7309540172,0,N/A,BERTH
Fisherman's Landing Multi-User Bulk/Tank Wharf,77309540173,C}TS7309540173,0,N/A,BERTH
Fishguard,77309534351,C}TS7309534351,0,UK Continent,PORT
Fiskaa,77309543209,C}TS7309543209,0,UK Continent,PORT
Fiume Santo EON Power Plant,77309539372,C}TS7309539372,0,N/A,BERTH
Fiumicino,77309539217,C}TS7309539217,0,W Coast Italy,PORT
Fiumicino SPM,77309770533,C}TS7309770533,0,N/A,BERTH
Five Continents International Container Terminal,77309541474,C}TS7309541474,0,N/A,BERTH
Flanders Cold Center,77309539858,C}TS7309539858,0,N/A,BERTH
Flateyri,77309536286,C}TS7309536286,0,Iceland,PORT
Fleetwood,77309534354,C}TS7309534354,0,UK Continent,PORT
Flensburg,77309532876,C}TS7309532876,0,Baltic,PORT
Flex Tank Berth (HOU),77309838666,C}TS7309838666,0,N/A,BERTH
"Flogas, Calar Gas, Tennants & Langan Bitumen - Oil Berth3 (Belfast)",77309830350,C}TS7309830350,0,N/A,BERTH
Floreffe,77309756831,C}TS7309756831,0,UK Continent,PORT
Florida International Container Terminal,77309541324,C}TS7309541324,0,N/A,BERTH
Floro,77309532345,C}TS7309532345,0,North Sea,PORT
Flotta Oil Terminal,77309539454,C}TS7309539454,0,N/A,BERTH
Flotta Terminal,77309539175,C}TS7309539175,0,North Sea,PORT
Flushing,77309532171,C}TS7309532171,0,UK Continent,PORT
Fluxys LNG Terminal,77309539857,C}TS7309539857,0,N/A,BERTH
Flying Fish Cove (Christmas Island),77309532276,C}TS7309532276,0,Indonesia,PORT
FMN Lagos Flour Mill,77309542096,C}TS7309542096,0,N/A,BERTH
Folkestone,77309534363,C}TS7309534363,0,UK Continent,PORT
Fond Mombin Cement Plant,77309543320,C}TS7309543320,0,N/A,BERTH
Forcados Oil Terminal,77309539164,C}TS7309539164,0,West Africa,PORT
Ford Automobile Works Dagenham,77309539849,C}TS7309539849,0,N/A,BERTH
Forestal del Atlantico - Jetty 1 (Mugardos),77309830089,C}TS7309830089,0,N/A,BERTH
Fork Otosan Utility Vehicle Plant,77309541982,C}TS7309541982,0,N/A,BERTH
former Bauxite treatment Plant (now for lease),77309542124,C}TS7309542124,0,N/A,BERTH
Former Lash Ligher Pier,77309541961,C}TS7309541961,0,N/A,BERTH
former Portsmouth Marine Terminal (closed 2011),77309541763,C}TS7309541763,0,N/A,BERTH
Formia,77309533306,C}TS7309533306,0,W Coast Italy,PORT
Formosa Ha Tinh Steel Plant Berths,77309826046,C}TS7309826046,0,N/A,BERTH
Formosa Plastics Berths,77309541162,C}TS7309541162,0,N/A,BERTH
Formosa Plastics Dock (Baton Rouge),77309838667,C}TS7309838667,0,N/A,BERTH
Formosa Plastics Ningbo Beilun,77309540442,C}TS7309540442,0,N/A,BERTH
Forno,77309532695,C}TS7309532695,0,Rio de Janeiro,PORT
Fort Hill Wharf,77309540754,C}TS7309540754,0,N/A,BERTH
Fort Lauderdale,77309531474,C}TS7309531474,0,US Atlantic Coast,PORT
Fort Liberte,77309536304,C}TS7309536304,0,Bahamas,PORT
Fort Mifflin,77309538767,C}TS7309538767,0,US Atlantic Coast,PORT
Fort Pierce,77309532998,C}TS7309532998,0,US Atlantic Coast,PORT
Fortaleza,77309539001,C}TS7309539001,0,Recife,PORT
Fortaleza Commercial Pier 1,77309905781,C}TS7309905781,0,N/A,BERTH
Fortaleza Commercial Pier 2,77309905785,C}TS7309905785,0,N/A,BERTH
Fort-De-France,77309532915,C}TS7309532915,0,Caribbean,PORT
Forties (test),77309753005,C}TS7309753005,0,North Sea,PORT
Fortum Oyj Berth (Naantali),77309779056,C}TS7309779056,0,N/A,BERTH
Fos,77309531067,C}TS7309531067,0,Fos sur Mer,PORT
Fos - Terminal Mineralier,77309540349,C}TS7309540349,0,N/A,BERTH
Fos 2 XL - MSC Terminal,77309541422,C}TS7309541422,0,N/A,BERTH
Fos 3 XL Terminal,77309540695,C}TS7309540695,0,N/A,BERTH
Fos 4 XL Terminal,77309540694,C}TS7309540694,0,N/A,BERTH
Fos Anchorage,77309542728,C}TS7309542728,0,N/A,ANCHORAGE
Fos Crude Oil Import Terminal,77309539541,C}TS7309539541,0,N/A,BERTH
Foshan,77309535148,C}TS7309535148,0,Canton,PORT
Fospar Terminal,77309540239,C}TS7309540239,0,N/A,BERTH
Foulad Tanker Terminal,77309729102,C}TS7309729102,0,N/A,BERTH
Foynes,77309534797,C}TS7309534797,0,Ireland,PORT
Foynes Port,77309909424,C}TS7309909424,0,Ireland,PORT
Foz,77309536315,C}TS7309536315,0,Bilbao,PORT
FPF-1 (Stella) (test),77309872394,C}TS7309872394,0,UK Continent,PORT
FPL Berth No 10 (Port Manatee),77309838938,C}TS7309838938,0,N/A,BERTH
FPL Berth No 9 (Port Manatee),77309838937,C}TS7309838937,0,N/A,BERTH
FPSO Fluminense,77309651340,C}TS7309651340,0,Rio de Janeiro,PORT
FPSO Jasmine Venture MV7,77309899350,C}TS7309899350,0,Thailand,PORT
FPSO Liza Destiny,77309949770,C}TS7309949770,0,'-,PORT
FPSO Song Doc Pride MV19,77309780155,C}TS7309780155,0,Thailand,PORT
FPSO Turritella,77309905377,C}TS7309905377,0,US Gulf,PORT
Frade (FPSO),77309680641,C}TS7309680641,0,Rio de Janeiro,PORT
France Road Container Terminal (North),77309540876,C}TS7309540876,0,N/A,BERTH
France Road Container Terminal (South),77309540877,C}TS7309540877,0,N/A,BERTH
Frankfurt,77309533787,C}TS7309533787,0,UK Continent,PORT
Fraser Port,77309534331,C}TS7309534331,0,W Coast Canada,PORT
Fraser Surrey Docks,77309541801,C}TS7309541801,0,N/A,BERTH
Fraser Wharves Auto Terminal,77309540318,C}TS7309540318,0,N/A,BERTH
Fray Bentos,77309542234,C}TS7309542234,0,Buenos Aires,PORT
Fredericia,77309533997,C}TS7309533997,0,Baltic,PORT
Fredericia Crude/Products Berth 42 - Jetty II,77309556984,C}TS7309556984,0,N/A,BERTH
Fredericia MPP Berths,77309540444,C}TS7309540444,0,N/A,BERTH
Fredericia Oil/Chemicals Berth 23,77309556982,C}TS7309556982,0,N/A,BERTH
Fredericia Oil/Products/LPG Berth 41,77309556983,C}TS7309556983,0,N/A,BERTH
Fredericia Products Berth 20,77309556981,C}TS7309556981,0,N/A,BERTH
Fredericia Roro Berths (generic name),77309540445,C}TS7309540445,0,N/A,BERTH
Frederikshavn / Skaw,77309531305,C}TS7309531305,0,Baltic,PORT
Frederiksvaerk,77309531317,C}TS7309531317,0,Baltic,PORT
Fredriksskans,77309531497,C}TS7309531497,0,Baltic,PORT
Fredrikstad,77309534836,C}TS7309534836,0,UK Continent,PORT
Fredrikstad Tanker Berth - North,77309871247,C}TS7309871247,0,N/A,BERTH
Freeport - Quintana Petroleum Terminal,77309556935,C}TS7309556935,0,N/A,BERTH
Freeport - Teppco Seaways Crude Terminal,77309541956,C}TS7309541956,0,N/A,BERTH
Freeport (Bah),77309538825,C}TS7309538825,0,Bahamas,PORT
Freeport (Grand Bahama) Anchorage,77309542117,C}TS7309542117,0,N/A,ANCHORAGE
Freeport (USA),77309539053,C}TS7309539053,0,US Gulf,PORT
Freeport Bahamas STS (test),77309728654,C}TS7309728654,1,N/A,BERTH
Freeport Container Port,77309541794,C}TS7309541794,0,N/A,BERTH
Freeport Cruise Terminal,77309542116,C}TS7309542116,0,N/A,BERTH
Freeport Lightering Area (test),77309694646,C}TS7309694646,1,N/A,BERTH
Freeport LNG Terminal,77309541957,C}TS7309541957,0,N/A,BERTH
Freeport North Anchorage,77309871244,C}TS7309871244,0,N/A,ANCHORAGE
Freeport South Anchorage,77309871245,C}TS7309871245,0,N/A,ANCHORAGE
Freeport Sulphur Terminal,77309900400,C}TS7309900400,0,N/A,BERTH
Freetown,77309532038,C}TS7309532038,0,North West Africa,PORT
Freetown Anchorage,77309542399,C}TS7309542399,0,N/A,ANCHORAGE
Freetown and Pepel STS Area,77309728709,C}TS7309728709,1,N/A,BERTH
Freetown Oil Terminal,77309950722,C}TS7309950722,0,N/A,BERTH
Fremantle,77309532163,C}TS7309532163,0,Kwinana,PORT
Fremantle Anchorage,77309542722,C}TS7309542722,0,N/A,ANCHORAGE
Fremantle Berth 1 (Australia),77309871248,C}TS7309871248,0,N/A,BERTH
